reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation.started,text.started,key_resp.started,fixation.stopped,key_resp.keys,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
40.0,55.0,62.0,0,0,0,3,12.874434100012877,13.74257730001409,13.74257730001409,13.87601020000875,t,5.2234431999968365,916247,001,2022-11-03_16h03.55.182,Tutorial06,2022.2.2,59.855365497933256,
11.0,30.0,7.0,0,1,1,0,19.005924100012635,19.993161900012637,19.993161900012637,20.00972030000412,l,3.915856099993107,916247,001,2022-11-03_16h03.55.182,Tutorial06,2022.2.2,59.855365497933256,
27.0,50.0,21.0,0,2,2,2,23.925907500000903,24.92628740001237,24.92628740001237,24.92628740001237,l,2.6354651000001468,916247,001,2022-11-03_16h03.55.182,Tutorial06,2022.2.2,59.855365497933256,
67.0,75.0,119.0,0,3,3,5,27.596176200007903,28.592597100010607,28.592597100010607,28.60919920000015,t,3.000924699983443,916247,001,2022-11-03_16h03.55.182,Tutorial06,2022.2.2,59.855365497933256,
49.0,60.0,89.0,0,4,4,4,31.62825530000555,32.62598810000054,32.62598810000054,32.64232390001416,t,4.769379799981834,916247,001,2022-11-03_16h03.55.182,Tutorial06,2022.2.2,59.855365497933256,
78.0,80.0,162.0,0,5,5,6,37.42575530000613,38.425459200007026,38.425459200007026,38.425459200007026,t,3.206623899983242,916247,001,2022-11-03_16h03.55.182,Tutorial06,2022.2.2,59.855365497933256,
15.0,35.0,13.0,0,6,6,1,41.65853140001127,42.65892660000827,42.65892660000827,42.65892660000827,l,3.3400115999829723,916247,001,2022-11-03_16h03.55.182,Tutorial06,2022.2.2,59.855365497933256,
